note,clmNum,whenadded
"Additional information requested for CLM31765239 - Priority: High - Amount: $42,873",CLM31765239,2024-01-28
Claim CLM32470291 status updated,CLM32470291,2022-08-10
Documentation received for claim CLM32470291,CLM32470291,2022-08-14
Payment authorization for CLM32470291,CLM32470291,2022-12-06
Review completed for CLM32470291,CLM32470291,2022-12-28
Initial review completed for claim CLM32470291,CLM32470291,2023-01-21
Initial review completed for claim CLM32763342,CLM32763342,2022-10-29
Claim CLM32763342 assigned to adjuster,CLM32763342,2022-10-31
Claim CLM32763342 documentation verified,CLM32763342,2022-11-12
Initial review completed for claim CLM32763342,CLM32763342,2022-11-15
Additional information requested for CLM32763342,CLM32763342,2023-03-08
"Additional information requested for CLM32763342 - Amount: $40,756",CLM32763342,2023-03-17
Initial review completed for claim CLM32763342,CLM32763342,2023-04-07
Follow-up investigation required for CLM32763342 - Priority: Low,CLM32763342,2023-04-12
Claim CLM35192630 assigned to adjuster,CLM35192630,2023-06-19
Review completed for CLM35192630,CLM35192630,2023-06-23
Additional information requested for CLM35192630,CLM35192630,2023-07-18
Documentation received for claim CLM35192630,CLM35192630,2023-08-08
Follow-up investigation required for CLM35192630,CLM35192630,2023-08-11
"Payment processed for CLM35698550 - Amount: $17,299",CLM35698550,2023-11-05
Follow-up investigation required for CLM35698550,CLM35698550,2024-02-25
Claim CLM35698550 status updated,CLM35698550,2024-03-01
"Payment authorization for CLM35698550 - Priority: Medium - Amount: $26,556",CLM35698550,2024-03-06
Documentation received for claim CLM36372008,CLM36372008,2022-11-02
Payment processed for CLM36372008,CLM36372008,2022-12-08
Claim CLM36372008 documentation verified,CLM36372008,2022-12-14
Payment authorization for CLM36372008,CLM36372008,2023-01-08
Review completed for CLM36372008 - Priority: Low,CLM36372008,2023-02-22
Claim CLM36372008 assigned to adjuster,CLM36372008,2023-02-22
Claim CLM36372008 assigned to adjuster,CLM36372008,2023-03-10
Initial review completed for claim CLM36372008,CLM36372008,2023-04-12
Review completed for CLM37804333,CLM37804333,2023-09-23
Payment processed for CLM37804333,CLM37804333,2023-09-30
Follow-up investigation required for CLM37804333,CLM37804333,2023-11-18
"Claim CLM37804333 documentation verified - Amount: $31,508",CLM37804333,2023-12-24
Payment processed for CLM37804333,CLM37804333,2023-12-25
Additional information requested for CLM37804333 - Priority: Low,CLM37804333,2024-02-14
Review completed for CLM38175911,CLM38175911,2022-11-08
Payment authorization for CLM38175911 - Priority: Medium,CLM38175911,2022-11-19
Review completed for CLM38175911,CLM38175911,2022-12-18
Documentation received for claim CLM38175911,CLM38175911,2022-12-24
Additional information requested for CLM38175911,CLM38175911,2022-12-27
Initial review completed for claim CLM38175911,CLM38175911,2022-12-28
"Payment authorization for CLM38175911 - Amount: $7,276",CLM38175911,2023-01-20
Review completed for CLM38175911,CLM38175911,2023-04-05
Initial review completed for claim CLM40474646,CLM40474646,2023-11-14
Payment processed for CLM40474646,CLM40474646,2023-11-26
Additional information requested for CLM40474646,CLM40474646,2024-01-23
Claim CLM40474646 assigned to adjuster,CLM40474646,2024-05-04
Payment processed for CLM40590972 - Priority: Medium,CLM40590972,2023-11-09
Review completed for CLM40590972,CLM40590972,2023-12-03
Claim CLM40590972 status updated,CLM40590972,2023-12-27
Claim CLM40590972 status updated - Priority: Low,CLM40590972,2024-02-13
"Claim CLM40590972 status updated - Amount: $25,345",CLM40590972,2024-02-22
Follow-up investigation required for CLM41175239 - Priority: High,CLM41175239,2022-07-02
"Documentation received for claim CLM41175239 - Amount: $12,777",CLM41175239,2022-07-20
Initial review completed for claim CLM41175239,CLM41175239,2022-08-29
Claim CLM41175239 assigned to adjuster - Priority: Medium,CLM41175239,2022-09-17
Additional information requested for CLM41175239,CLM41175239,2022-09-23
Payment authorization for CLM41175239,CLM41175239,2022-10-05
Claim CLM41175239 documentation verified,CLM41175239,2022-11-12
"Review completed for CLM41175239 - Amount: $45,409",CLM41175239,2022-11-16
Initial review completed for claim CLM42266497 - Priority: High,CLM42266497,2023-04-25
"Claim CLM42266497 assigned to adjuster - Amount: $10,428",CLM42266497,2023-04-28
Payment authorization for CLM43015348,CLM43015348,2023-03-01
Payment processed for CLM43015348,CLM43015348,2023-03-30
"Documentation received for claim CLM43015348 - Amount: $11,576",CLM43015348,2023-03-31
Payment processed for CLM43015348,CLM43015348,2023-07-12
Claim CLM45674971 status updated,CLM45674971,2023-04-29
Documentation received for claim CLM45674971 - Priority: Medium,CLM45674971,2023-08-03
"Follow-up investigation required for CLM45674971 - Priority: Low - Amount: $30,739",CLM45674971,2023-10-04
Documentation received for claim CLM46355877,CLM46355877,2024-02-05
Payment authorization for CLM46355877 - Priority: Medium,CLM46355877,2024-02-12
Additional information requested for CLM46355877,CLM46355877,2024-04-12
Review completed for CLM46355877,CLM46355877,2024-06-06
Follow-up investigation required for CLM46432549,CLM46432549,2023-02-28
Follow-up investigation required for CLM46432549 - Priority: Low,CLM46432549,2023-02-28
Additional information requested for CLM46432549,CLM46432549,2023-03-05
Payment processed for CLM46432549 - Priority: High,CLM46432549,2023-03-05
Additional information requested for CLM46432549,CLM46432549,2023-04-14
"Follow-up investigation required for CLM46432549 - Amount: $40,922",CLM46432549,2023-05-12
Follow-up investigation required for CLM46432549 - Priority: Low,CLM46432549,2023-07-21
"Additional information requested for CLM46432549 - Priority: High - Amount: $36,732",CLM46432549,2023-07-27
Claim CLM46847763 status updated,CLM46847763,2023-05-10
Payment processed for CLM46847763,CLM46847763,2023-06-23
Payment authorization for CLM46847763 - Priority: High,CLM46847763,2023-07-08
Claim CLM46847763 documentation verified,CLM46847763,2023-08-17
Payment processed for CLM46847763 - Priority: Medium,CLM46847763,2023-10-01
"Follow-up investigation required for CLM46847763 - Priority: Low - Amount: $24,953",CLM46847763,2023-10-12
"Claim CLM46847763 documentation verified - Amount: $47,857",CLM46847763,2023-10-21
"Follow-up investigation required for CLM47375319 - Amount: $3,169",CLM47375319,2023-05-13
Additional information requested for CLM47375319,CLM47375319,2023-06-18
Payment processed for CLM47375319 - Priority: Medium,CLM47375319,2023-07-14
Claim CLM47375319 status updated,CLM47375319,2023-07-26
Claim CLM47375319 documentation verified,CLM47375319,2023-09-04
Initial review completed for claim CLM47710964,CLM47710964,2022-12-01
Review completed for CLM47710964,CLM47710964,2023-01-10
"Claim CLM47710964 assigned to adjuster - Amount: $8,052",CLM47710964,2023-03-03
Payment processed for CLM47710964 - Priority: Medium,CLM47710964,2023-04-03
"Documentation received for claim CLM47710964 - Amount: $43,641",CLM47710964,2023-05-04
Claim CLM47710964 assigned to adjuster - Priority: High,CLM47710964,2023-05-07
Claim CLM49722995 documentation verified,CLM49722995,2023-07-30
"Payment processed for CLM49722995 - Priority: Medium - Amount: $32,655",CLM49722995,2023-07-30
Payment processed for CLM49722995 - Priority: Medium,CLM49722995,2023-08-10
Claim CLM49722995 documentation verified - Priority: High,CLM49722995,2023-08-10
"Payment processed for CLM49722995 - Amount: $47,738",CLM49722995,2023-08-18
Documentation received for claim CLM49722995 - Priority: Medium,CLM49722995,2023-09-02
Claim CLM49722995 documentation verified,CLM49722995,2023-09-12
Review completed for CLM49722995,CLM49722995,2023-09-17
Claim CLM49722995 documentation verified,CLM49722995,2023-10-05
Claim CLM49722995 documentation verified - Priority: Low,CLM49722995,2023-12-08
Initial review completed for claim CLM49970870,CLM49970870,2023-07-02
Additional information requested for CLM49970870,CLM49970870,2023-07-25
Claim CLM49970870 documentation verified - Priority: Low,CLM49970870,2023-08-05
Documentation received for claim CLM49970870,CLM49970870,2023-08-14
Claim CLM49970870 status updated,CLM49970870,2023-08-25
Review completed for CLM49970870,CLM49970870,2023-09-12
Payment processed for CLM49970870,CLM49970870,2023-10-20
"Payment processed for CLM49970870 - Amount: $27,342",CLM49970870,2023-10-27
Follow-up investigation required for CLM50004651,CLM50004651,2023-12-17
"Payment authorization for CLM50004651 - Amount: $19,601",CLM50004651,2024-02-07
Initial review completed for claim CLM50179601,CLM50179601,2022-05-15
"Initial review completed for claim CLM50179601 - Amount: $19,624",CLM50179601,2022-07-17
Review completed for CLM50179601,CLM50179601,2022-07-28
"Payment authorization for CLM50981729 - Amount: $45,605",CLM50981729,2022-06-06
Additional information requested for CLM50981729,CLM50981729,2022-06-23
Documentation received for claim CLM50981729 - Priority: High,CLM50981729,2022-07-06
Initial review completed for claim CLM50981729,CLM50981729,2022-07-15
Claim CLM50981729 documentation verified,CLM50981729,2022-07-18
Initial review completed for claim CLM50981729,CLM50981729,2022-07-29
"Follow-up investigation required for CLM50981729 - Amount: $45,254",CLM50981729,2022-08-16
Claim CLM50981729 documentation verified,CLM50981729,2022-09-05
Claim CLM50981729 status updated,CLM50981729,2022-09-13
Additional information requested for CLM52622487 - Priority: Low,CLM52622487,2024-01-01
Claim CLM52622487 status updated,CLM52622487,2024-01-13
Payment authorization for CLM52622487,CLM52622487,2024-02-29
Documentation received for claim CLM52622487 - Priority: Low,CLM52622487,2024-03-07
Initial review completed for claim CLM52622487,CLM52622487,2024-04-18
Claim CLM52622487 documentation verified - Priority: Medium,CLM52622487,2024-05-05
Review completed for CLM53353746 - Priority: High,CLM53353746,2023-06-25
Review completed for CLM53353746,CLM53353746,2023-07-30
Additional information requested for CLM53353746,CLM53353746,2023-08-09
Payment processed for CLM53353746,CLM53353746,2023-08-30
Claim CLM53353746 status updated,CLM53353746,2023-10-16
"Claim CLM53353746 documentation verified - Priority: Low - Amount: $14,547",CLM53353746,2023-11-02
Initial review completed for claim CLM54607536,CLM54607536,2023-12-03
Payment authorization for CLM54607536 - Priority: Medium,CLM54607536,2024-01-01
Payment processed for CLM55677485 - Priority: High,CLM55677485,2024-01-16
Follow-up investigation required for CLM55677485,CLM55677485,2024-01-21
"Documentation received for claim CLM55677485 - Amount: $13,693",CLM55677485,2024-02-26
Payment authorization for CLM55677485,CLM55677485,2024-03-17
Payment processed for CLM55677485 - Priority: Low,CLM55677485,2024-05-22
Payment authorization for CLM55677485,CLM55677485,2024-05-28
Payment authorization for CLM55745469,CLM55745469,2023-07-07
Claim CLM55745469 status updated,CLM55745469,2023-07-17
Payment authorization for CLM55745469,CLM55745469,2023-08-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-08-19
"Claim CLM55745469 status updated - Amount: $9,007",CLM55745469,2023-09-08
Additional information requested for CLM55745469,CLM55745469,2023-09-22
Initial review completed for claim CLM55745469,CLM55745469,2023-10-02
Follow-up investigation required for CLM55745469,CLM55745469,2023-10-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-10-07
Claim CLM55745469 assigned to adjuster,CLM55745469,2023-10-15
"Follow-up investigation required for CLM55745469 - Priority: Low - Amount: $30,969",CLM55745469,2023-12-08
Payment authorization for CLM56350911 - Priority: Low,CLM56350911,2023-01-21
Review completed for CLM56350911,CLM56350911,2023-02-09
Follow-up investigation required for CLM56350911,CLM56350911,2023-02-13
"Claim CLM56350911 status updated - Priority: Low - Amount: $42,235",CLM56350911,2023-03-01
"Follow-up investigation required for CLM56350911 - Priority: Low - Amount: $43,324",CLM56350911,2023-03-22
Claim CLM56350911 assigned to adjuster,CLM56350911,2023-05-10
"Payment processed for CLM56350911 - Priority: Medium - Amount: $26,892",CLM56350911,2023-05-15
Additional information requested for CLM56350911 - Priority: Medium,CLM56350911,2023-06-22
"Payment authorization for CLM57911176 - Priority: Low - Amount: $24,714",CLM57911176,2023-05-25
Payment processed for CLM57911176,CLM57911176,2023-05-28
"Claim CLM57911176 assigned to adjuster - Amount: $25,244",CLM57911176,2023-06-05
Additional information requested for CLM57911176,CLM57911176,2023-06-17
Follow-up investigation required for CLM57911176,CLM57911176,2023-06-27
"Follow-up investigation required for CLM57911176 - Amount: $23,556",CLM57911176,2023-08-28
Additional information requested for CLM57911176 - Priority: High,CLM57911176,2023-09-05
Additional information requested for CLM57911176,CLM57911176,2023-09-25
"Additional information requested for CLM58495982 - Amount: $14,944",CLM58495982,2023-06-24
Payment authorization for CLM58495982,CLM58495982,2023-06-30
"Review completed for CLM58495982 - Amount: $10,596",CLM58495982,2023-07-06
"Claim CLM58495982 documentation verified - Amount: $20,033",CLM58495982,2023-08-17
Payment processed for CLM58495982,CLM58495982,2023-09-06
Claim CLM58495982 assigned to adjuster,CLM58495982,2023-09-23
"Claim CLM58495982 status updated - Amount: $15,537",CLM58495982,2023-09-28
Claim CLM58495982 status updated,CLM58495982,2023-10-06
Review completed for CLM58515114 - Priority: Low,CLM58515114,2022-10-12
"Initial review completed for claim CLM58515114 - Amount: $15,357",CLM58515114,2022-10-22
Claim CLM58515114 documentation verified,CLM58515114,2022-11-05
Documentation received for claim CLM58515114,CLM58515114,2022-11-05
"Documentation received for claim CLM58673237 - Amount: $19,589",CLM58673237,2022-10-14
Additional information requested for CLM58673237,CLM58673237,2022-11-11
Review completed for CLM58673237,CLM58673237,2022-11-16
Claim CLM58673237 status updated,CLM58673237,2022-11-25
"Payment authorization for CLM58673237 - Amount: $46,681",CLM58673237,2022-12-03
"Documentation received for claim CLM58673237 - Amount: $11,492",CLM58673237,2023-01-13
Initial review completed for claim CLM58673237 - Priority: High,CLM58673237,2023-01-29
"Claim CLM58673237 assigned to adjuster - Priority: Low - Amount: $35,584",CLM58673237,2023-03-19
Follow-up investigation required for CLM58978079 - Priority: Medium,CLM58978079,2023-02-12
Initial review completed for claim CLM58978079,CLM58978079,2023-02-12
Payment authorization for CLM58978079,CLM58978079,2023-04-22
Claim CLM58978079 documentation verified,CLM58978079,2023-04-25
"Follow-up investigation required for CLM58978079 - Priority: Low - Amount: $25,052",CLM58978079,2023-05-01
Review completed for CLM58978079,CLM58978079,2023-05-07
Claim CLM58978079 documentation verified,CLM58978079,2023-05-10
Review completed for CLM58978079,CLM58978079,2023-05-25
Payment authorization for CLM58978079,CLM58978079,2023-07-14
Documentation received for claim CLM58978079,CLM58978079,2023-07-27
Payment processed for CLM58978079 - Priority: High,CLM58978079,2023-07-27
"Payment authorization for CLM59160571 - Amount: $23,662",CLM59160571,2023-06-09
Follow-up investigation required for CLM59160571 - Priority: Low,CLM59160571,2023-08-15
Review completed for CLM59160571,CLM59160571,2023-08-24
Initial review completed for claim CLM59160571 - Priority: Low,CLM59160571,2023-08-31
Claim CLM59282339 status updated,CLM59282339,2022-12-29
Review completed for CLM59282339,CLM59282339,2023-02-17
Initial review completed for claim CLM59282339,CLM59282339,2023-02-23
"Payment processed for CLM59282339 - Amount: $1,126",CLM59282339,2023-04-07
Initial review completed for claim CLM59282339,CLM59282339,2023-04-13
Review completed for CLM59282339,CLM59282339,2023-04-18
Payment authorization for CLM59282339,CLM59282339,2023-05-17
Claim CLM59282339 status updated,CLM59282339,2023-06-14
Claim CLM61117909 status updated,CLM61117909,2023-01-25
"Claim CLM61117909 assigned to adjuster - Amount: $31,654",CLM61117909,2023-02-07
Documentation received for claim CLM61117909 - Priority: Medium,CLM61117909,2023-02-10
Additional information requested for CLM61117909 - Priority: Low,CLM61117909,2023-03-05
Claim CLM61117909 status updated,CLM61117909,2023-06-13
Payment authorization for CLM61117909,CLM61117909,2023-06-18
Initial review completed for claim CLM61117909,CLM61117909,2023-07-15
Initial review completed for claim CLM61588363,CLM61588363,2023-05-16
Claim CLM61588363 documentation verified,CLM61588363,2023-05-19
Follow-up investigation required for CLM61588363 - Priority: Medium,CLM61588363,2023-05-21
Initial review completed for claim CLM61588363 - Priority: High,CLM61588363,2023-10-08
Claim CLM61588363 status updated,CLM61588363,2023-10-23
Payment processed for CLM61721929,CLM61721929,2023-12-29
Follow-up investigation required for CLM61721929,CLM61721929,2024-02-29
Payment authorization for CLM61721929,CLM61721929,2024-04-18
Payment authorization for CLM61721929,CLM61721929,2024-06-01
Claim CLM61721929 documentation verified,CLM61721929,2024-06-21
Payment authorization for CLM62297378,CLM62297378,2024-02-10
Initial review completed for claim CLM62297378 - Priority: High,CLM62297378,2024-03-08
Payment processed for CLM62297378,CLM62297378,2024-03-10
"Payment authorization for CLM62297378 - Amount: $35,540",CLM62297378,2024-03-27
Additional information requested for CLM63412976,CLM63412976,2023-01-16
Payment authorization for CLM63412976 - Priority: Medium,CLM63412976,2023-01-21
Claim CLM63412976 status updated - Priority: Medium,CLM63412976,2023-03-03
Additional information requested for CLM63412976 - Priority: Low,CLM63412976,2023-06-11
Payment authorization for CLM63517362 - Priority: Low,CLM63517362,2022-03-25
Review completed for CLM63517362,CLM63517362,2022-04-19
Documentation received for claim CLM63517362,CLM63517362,2022-07-08
Additional information requested for CLM63517362 - Priority: Low,CLM63517362,2022-08-30
Payment authorization for CLM64331101,CLM64331101,2023-07-09
Claim CLM64331101 documentation verified - Priority: Low,CLM64331101,2023-07-15
Follow-up investigation required for CLM64331101,CLM64331101,2023-07-25
Review completed for CLM64331101,CLM64331101,2023-07-29
Initial review completed for claim CLM64331101,CLM64331101,2023-08-08
"Claim CLM64331101 documentation verified - Amount: $31,873",CLM64331101,2023-08-15
Review completed for CLM64331101,CLM64331101,2023-08-20
Follow-up investigation required for CLM64331101,CLM64331101,2023-09-08
Payment processed for CLM64331101,CLM64331101,2023-09-17
Payment processed for CLM64474455,CLM64474455,2023-03-02
Follow-up investigation required for CLM64474455,CLM64474455,2023-04-28
"Claim CLM64474455 documentation verified - Amount: $2,306",CLM64474455,2023-05-04
"Claim CLM64474455 documentation verified - Amount: $24,419",CLM64474455,2023-05-15
Payment processed for CLM64474455,CLM64474455,2023-06-02
Claim CLM64474455 status updated - Priority: High,CLM64474455,2023-06-13
Payment processed for CLM64474455,CLM64474455,2023-06-15
Claim CLM64474455 documentation verified,CLM64474455,2023-07-06
Claim CLM64474455 assigned to adjuster,CLM64474455,2023-07-30
Payment processed for CLM64847136,CLM64847136,2022-09-04
Follow-up investigation required for CLM64847136,CLM64847136,2022-12-02
"Claim CLM64847136 documentation verified - Amount: $47,975",CLM64847136,2022-12-04
Initial review completed for claim CLM64847136,CLM64847136,2023-01-06
Payment processed for CLM64847136,CLM64847136,2023-01-30
Initial review completed for claim CLM65478034,CLM65478034,2022-09-25
Initial review completed for claim CLM65478034 - Priority: Medium,CLM65478034,2022-10-02
Claim CLM65478034 documentation verified,CLM65478034,2022-11-07
Payment authorization for CLM65478034,CLM65478034,2022-12-11
Claim CLM65478034 documentation verified,CLM65478034,2022-12-12
"Documentation received for claim CLM65478034 - Amount: $7,190",CLM65478034,2023-01-18
