clmNum,datetxn,clmStatus,paid,expense,reserve,incurred,clmCause,risk_level,paid_cumsum,expense_cumsum,reserve_cumsum,incurred_cumsum
CLM36735830,2024-12-20 14:31:59.074233,OPEN,1145.32,327.74,1442.91,1770.65,Theft,HIGH,1145.32,327.74,1442.91,1770.65
CLM36735830,2025-05-03 14:31:59.074233,OPEN,1695.45,412.85,984.83,1397.68,Theft,HIGH,2840.77,740.59,2427.7400000000002,3168.33
CLM36735830,2025-05-18 14:31:59.074233,OPEN,1762.69,515.65,903.84,1419.49,Theft,HIGH,4603.46,1256.24,3331.58,4587.82
CLM40349564,2025-07-19 14:31:59.074233,OPEN,0.0,341.75,308.81,650.56,Product Liability,HIGH,0.0,341.75,308.81,650.56
CLM40349564,2025-08-01 14:31:59.074233,OPEN,0.0,2053.77,1774.02,3827.79,Product Liability,HIGH,0.0,2395.52,2082.83,4478.35
CLM41632483,2025-03-22 14:31:59.074233,OPEN,1592.3,578.39,800.88,1379.26,Auto Accident,HIGH,1592.3,578.39,800.88,1379.26
CLM41632483,2025-05-03 14:31:59.074233,OPEN,1166.2,162.8,1134.35,1297.15,Auto Accident,HIGH,2758.5,741.19,1935.23,2676.41
CLM41632483,2025-07-01 14:31:59.074233,OPEN,946.99,1995.71,1476.61,3472.32,Auto Accident,HIGH,3705.49,2736.9,3411.84,6148.7300000000005
CLM41632483,2025-07-14 14:31:59.074233,OPEN,1570.47,375.3,1485.65,1860.95,Auto Accident,HIGH,5275.96,3112.2000000000003,4897.49,8009.68
CLM45788921,2025-06-15 14:31:59.074233,OPEN,811.63,967.42,916.51,1883.93,Product Liability,HIGH,811.63,967.42,916.51,1883.93
CLM45788921,2025-07-07 14:31:59.074233,OPEN,2462.74,1866.43,1133.4,2999.83,Product Liability,HIGH,3274.37,2833.85,2049.91,4883.76
CLM45788921,2025-07-22 14:31:59.074233,OPEN,2839.99,485.82,1098.87,1584.68,Product Liability,HIGH,6114.36,3319.67,3148.7799999999997,6468.4400000000005
CLM45788921,2025-08-10 14:31:59.074233,OPEN,2460.83,1124.75,1396.09,2520.84,Product Liability,HIGH,8575.189999999999,4444.42,4544.87,8989.28
CLM45788921,2025-08-10 14:31:59.074233,OPEN,838.22,309.1,927.11,1236.21,Product Liability,HIGH,9413.41,4753.52,5471.98,10225.490000000002
CLM52860080,2024-07-30 14:31:59.074233,OPEN,0.0,316.71,974.53,1291.24,Theft,HIGH,0.0,316.71,974.53,1291.24
CLM52860080,2025-06-28 14:31:59.074233,OPEN,0.0,2241.51,874.59,3116.1,Theft,HIGH,0.0,2558.2200000000003,1849.12,4407.34
CLM66755036,2025-03-12 14:31:59.074233,OPEN,2914.84,451.22,1275.13,1726.36,Auto Accident,HIGH,2914.84,451.22,1275.13,1726.36
CLM66755036,2025-03-23 14:31:59.074233,OPEN,748.75,268.14,545.23,813.36,Auto Accident,HIGH,3663.59,719.36,1820.3600000000001,2539.72
CLM66755036,2025-04-01 14:31:59.074233,OPEN,986.62,777.83,1042.7,1820.53,Auto Accident,HIGH,4650.21,1497.19,2863.0600000000004,4360.25
CLM66755036,2025-04-17 14:31:59.074233,OPEN,2292.5,1704.61,1039.69,2744.31,Auto Accident,HIGH,6942.71,3201.8,3902.75,7104.5599999999995
CLM66755036,2025-06-20 14:31:59.074233,OPEN,1390.44,1535.19,707.94,2243.13,Auto Accident,HIGH,8333.15,4736.99,4610.6900000000005,9347.69
CLM66755036,2025-08-17 14:31:59.074233,OPEN,2794.64,850.79,1227.27,2078.06,Auto Accident,HIGH,11127.79,5587.78,5837.96,11425.75
CLM66882282,2023-11-12 14:31:59.074233,OPEN,1385.52,129.71,894.88,1024.59,Construction Defect,HIGH,1385.52,129.71,894.88,1024.59
CLM66882282,2025-06-17 14:31:59.074233,OPEN,2483.29,110.49,1206.86,1317.35,Construction Defect,HIGH,3868.81,240.2,2101.74,2341.9399999999996
CLM66882282,2025-07-14 14:31:59.074233,OPEN,1896.69,1601.33,1426.3,3027.63,Construction Defect,HIGH,5765.5,1841.53,3528.04,5369.57
CLM75682867,2025-02-01 14:31:59.074233,OPEN,2953.05,826.68,966.76,1793.44,Medical Malpractice,HIGH,2953.05,826.68,966.76,1793.44
CLM75682867,2025-03-12 14:31:59.074233,OPEN,2115.85,285.58,940.15,1225.73,Medical Malpractice,HIGH,5068.9,1112.26,1906.9099999999999,3019.17
CLM75682867,2025-04-23 14:31:59.074233,OPEN,1777.21,1890.18,885.42,2775.6,Medical Malpractice,HIGH,6846.110000000001,3002.44,2792.33,5794.77
CLM75682867,2025-06-18 14:31:59.074233,OPEN,1477.0,796.09,1285.18,2081.26,Medical Malpractice,HIGH,8323.11,3798.53,4077.51,7876.030000000001
CLM75682867,2025-06-29 14:31:59.074233,OPEN,2532.95,1258.99,673.36,1932.36,Medical Malpractice,HIGH,10856.06,5057.52,4750.87,9808.39
CLM75682867,2025-07-29 14:31:59.074233,OPEN,677.47,1254.34,565.05,1819.39,Medical Malpractice,HIGH,11533.53,6311.86,5315.92,11627.78
CLM86737383,2025-02-10 14:31:59.074233,OPEN,1622.96,386.36,1195.81,1582.18,Product Liability,HIGH,1622.96,386.36,1195.81,1582.18
CLM86737383,2025-02-11 14:31:59.074233,OPEN,1700.17,1303.71,590.29,1894.0,Product Liability,HIGH,3323.13,1690.0700000000002,1786.1,3476.1800000000003
CLM86737383,2025-03-13 14:31:59.074233,OPEN,2545.59,1083.73,1175.69,2259.42,Product Liability,HIGH,5868.72,2773.8,2961.79,5735.6
CLM86737383,2025-04-01 14:31:59.074233,OPEN,469.29,762.47,1440.52,2202.99,Product Liability,HIGH,6338.01,3536.2700000000004,4402.3099999999995,7938.59
CLM86737383,2025-05-27 14:31:59.074233,OPEN,878.05,802.34,1303.14,2105.48,Product Liability,HIGH,7216.06,4338.610000000001,5705.45,10044.07
CLM86737383,2025-07-22 14:31:59.074233,OPEN,2097.18,1222.7,516.59,1739.28,Product Liability,HIGH,9313.24,5561.31,6222.04,11783.35
CLM86893497,2024-09-19 14:31:59.074233,OPEN,0.0,1787.99,1494.22,3282.21,Professional Negligence,HIGH,0.0,1787.99,1494.22,3282.21
CLM86893497,2024-11-09 14:31:59.074233,OPEN,0.0,843.93,848.34,1692.27,Professional Negligence,HIGH,0.0,2631.92,2342.56,4974.48
CLM86893497,2025-08-12 14:31:59.074233,OPEN,0.0,2476.63,538.14,3014.77,Professional Negligence,HIGH,0.0,5108.55,2880.7,7989.25
CLM87751354,2025-08-22 14:31:59.074233,OPEN,0.0,221.68,363.49,585.17,Property Damage,HIGH,0.0,221.68,363.49,585.17
CLM87751354,2025-08-23 14:31:59.074233,OPEN,0.0,234.46,1091.52,1325.98,Property Damage,HIGH,0.0,456.14,1455.01,1911.15
CLM87751354,2025-08-23 14:31:59.074233,OPEN,0.0,2457.33,1726.19,4183.51,Property Damage,HIGH,0.0,2913.47,3181.2,6094.66
CLM95652971,2025-06-17 14:31:59.074233,OPEN,0.0,207.14,1397.3,1604.45,Auto Accident,HIGH,0.0,207.14,1397.3,1604.45
CLM95652971,2025-06-30 14:31:59.074233,OPEN,0.0,2487.19,1098.91,3586.1,Auto Accident,HIGH,0.0,2694.33,2496.21,5190.55
CLM98358551,2024-11-21 14:31:59.074233,OPEN,1763.22,1934.3,1382.64,3316.93,Construction Defect,HIGH,1763.22,1934.3,1382.64,3316.93
CLM98358551,2025-01-02 14:31:59.074233,OPEN,1646.58,1966.12,760.83,2726.95,Construction Defect,HIGH,3409.8,3900.42,2143.4700000000003,6043.879999999999
CLM98358551,2025-03-12 14:31:59.074233,OPEN,922.24,1766.94,1159.98,2926.93,Construction Defect,HIGH,4332.04,5667.36,3303.4500000000003,8970.81
CLM98409749,2024-07-21 14:31:59.074233,OPEN,0.0,1795.84,1739.32,3535.16,Product Liability,HIGH,0.0,1795.84,1739.32,3535.16
CLM98409749,2025-05-22 14:31:59.074233,OPEN,0.0,2234.65,1625.79,3860.44,Product Liability,HIGH,0.0,4030.49,3365.1099999999997,7395.6
